Saccade_Start,Saccade_End,Saccade_Type,Saccade_Duration,Saccade_Mean_Velocity,Saccade_Min_Velocity,Saccade_Max_Velocity,Saccade_Path_Length:
1225,1227,Long,171,0.003947811471377619,0.0011460700513057649,0.007678503582969357,0.6973483618939177
1233,1234,Standard,31,0.0040994961504544685,0.001528433256836404,0.0066705590440725325,0.254168761328177
1254,1256,Standard,63,0.005864634916085704,0.002089391192561976,0.008548387096774194,0.5502777824623295
1350,1352,Standard,77,0.004726042860636981,0.0034115858180565556,0.006168828449912061,0.5069165866124044
3596,3597,Standard,46,0.0038832501052549,0.0,0.0077665002105098,0.35725900968345076
4539,4540,Standard,63,0.0031379330513443193,0.0,0.006275866102688639,0.39537956446938427
4852,4853,Long,172,0.0036869645709487154,0.0,0.007373929141897431,1.268315812406358
4979,4980,Standard,33,0.004570072287069684,0.0014422205101855957,0.007697924063953771,0.2972981094160423
5272,5273,Standard,33,0.004696425272586223,0.004333333333333333,0.005059517211839114,0.29696406799069075
6406,6407,Standard,30,0.005705529682126247,0.0006373774391990979,0.010773681925053395,0.343606535805973
6815,6816,Standard,32,0.004496472208506707,0.00010540925533894607,0.008887535161674467,0.2875634028337513
6819,6820,Standard,33,0.004382543033188769,0.000535316368836553,0.008229769697540985,0.28710657471511253
6851,6852,Standard,32,0.004486582174330918,0.0004268749491621903,0.008546289399499645,0.2862875092588544
6860,6861,Standard,29,0.004576596868622605,0.00029998469504883803,0.008853209042196372,0.2666425571603064
7753,7754,Standard,61,0.001459154533891413,0.0,0.002918309067782826,0.17801685313475238
8030,8031,Standard,65,0.005730459465040598,0.0,0.011460918930081197,0.7449597304552777
8111,8112,Long,188,0.0023381274984878714,0.0,0.004676254996975743,0.8791359394314398
8118,8119,Long,187,0.0022536950826034623,0.0,0.0045073901652069245,0.8428819608936948
8415,8416,Long,188,0.0023706128192174415,0.0009185971551031023,0.0038226284833317806,0.29884300510933204
8438,8439,Long,189,0.0004417038835732559,0.0,0.0008834077671465118,0.16696406799069075
8442,8443,Long,188,0.0028699618346825465,0.0009496282420498492,0.004790295427315244,0.32702926775214425
8446,8447,Long,186,0.002692161716678187,0.0009786275462120972,0.004405695887144277,0.3230069919840669
8480,8481,Long,188,0.00041991808951426804,0.0,0.0008398361790285361,0.15788920165736478
8497,8498,Long,186,0.00042715721994813723,0.0,0.0008543144398962745,0.15890248582070704
8504,8505,Long,189,0.00046851545623836785,0.0,0.0009370309124767357,0.17709884245810306
8508,8509,Long,186,0.00045595233405305754,0.0,0.0009119046681061151,0.16961426826773743
8512,8513,Long,190,0.00045428858266908964,0.0,0.0009085771653381793,0.17262966141425407
9758,9759,Standard,46,0.0019782608695652175,0.0,0.003956521739130435,0.182
9762,9763,Standard,46,0.015132058883349262,0.0,0.030264117766698524,1.3921494172681321
9810,9811,Standard,48,0.0021741906619986715,0.0,0.004348381323997343,0.20872230355187246
9826,9827,Standard,28,0.005168463280699945,0.0005962847939999441,0.009740641767399945,0.2816822413971976
9832,9833,Standard,32,0.008574258707389015,0.0002519455546343297,0.016896571860143702,0.548752557272897
9861,9862,Long,124,0.0007244063737455056,4.714045207910321e-05,0.001401672295411908,0.17522157819344966
11526,11527,Long,189,0.0010359837000172253,0.0,0.0020719674000344505,0.39160183860651115
11654,11655,Standard,31,0.004899699423049913,0.00022809896167308005,0.009571299884426747,0.30378136422909463
11712,11713,Standard,30,0.004703652721350309,0.0006250000000000003,0.008782305442700618,0.28346916328101857
11718,11719,Standard,32,0.004388431223290643,0.00027749436345298823,0.008499368083128298,0.28058210392714816
11786,11787,Standard,32,0.004442640750926449,0.00028284271247461923,0.008602438789378278,0.2837633226343435
11821,11822,Standard,31,0.00451812058238367,0.00031933854634231206,0.008716902618425029,0.28012347610778754
11826,11827,Standard,31,0.00455349146970572,0.00023484225449292017,0.00887214068491852,0.2823164711217547
11955,11956,Standard,31,0.00437189446926775,0.0006392431245372423,0.008104545813998257,0.27233594334367495
11966,11967,Standard,31,0.004241334116099988,0.00044814335449838114,0.008034524877701595,0.26296271519819925
12263,12264,Standard,31,0.005433034180043803,0.0015723301886761008,0.009293738171411506,0.3352757889740397
12270,12271,Standard,31,0.00677583090742282,0.0022360679774997894,0.011315593837345851,0.4201015162602149
12321,12322,Standard,32,0.0040328729000880395,0.001033870827951388,0.007031874972224691,0.25603612394973174
13001,13002,Standard,47,0.0016896484027046383,0.0,0.0033792968054092765,0.158826949854236
13057,13059,Standard,78,0.01145561119001435,0.0,0.020708220228102866,1.2839096541423778
13063,13064,Standard,31,0.0027059180143055614,0.00030303030303030325,0.0051088057255808195,0.16837297749300542
13066,13069,Long,108,0.011221100508804344,0.0,0.018350855736177535,1.4091744009830824
