Saccade_Start,Saccade_End,Saccade_Type,Saccade_Duration,Saccade_Mean_Velocity,Saccade_Min_Velocity,Saccade_Max_Velocity,Saccade_Path_Length:
34,35,Standard,31,0.001788351291274135,0.0003364125170391896,0.00324029006550908,0.11626038033162339
169,170,Standard,31,0.001980642761558642,0.0015637495003996001,0.0023975360227176837,0.1243636007170354
214,215,Standard,30,0.0010802569023349018,7.671385692476579e-05,0.0020837999477450377,0.06611954970781513
237,241,Long,140,0.001437545857156853,0.00030903148567228985,0.0023457624467997213,0.2400070457849729
256,261,Long,156,0.002156184859855025,0.0009486348995453652,0.004281364049575789,0.40749896879799363
305,306,Standard,31,0.0022331042281409116,0.000824331545983966,0.003641876910297857,0.14010112523670445
538,539,Standard,31,0.0013149970503473218,0.0011083842406855132,0.0015216098600091303,0.08263820136221946
584,589,Long,155,0.0027688456031421445,0.000563367386791248,0.005743113326095766,0.5132351720199559
967,968,Standard,31,0.0015648610251609832,0.00024267032964268322,0.002887051720679283,0.09677871323033829
987,988,Standard,31,0.001209787886996386,6.451612903225812e-05,0.002355059644960514,0.07500684899377594
1406,1407,Standard,31,0.0013158915563943772,0.001119777739207082,0.0015120053735816722,0.08158527649645138
1597,1599,Standard,62,0.0015584009692057369,0.0008888414158329936,0.0021929178937864706,0.14522065725617778
2057,2058,Standard,47,0.0005491577505155417,0.00013333333333333345,0.0009649821676977501,0.049354161881794256
2170,2171,Standard,32,0.0013697572764162413,0.0008749603165604447,0.001864554236272038,0.08591454505751855
2224,2225,Standard,32,0.0008856483318963139,0.000277494363452988,0.0014938023003396397,0.0564039988779111
2336,2337,Standard,31,0.0019830348894227887,0.00024071720210605812,0.0037253525767395198,0.12679963837790983
2607,2608,Standard,32,0.0012383767036389943,0.00013300340727798873,0.00234375,0.07912310562561765
2706,2707,Standard,31,0.0012245361580850449,0.00019008632907181953,0.00225898598709827,0.0761113281303446
3140,3141,Standard,32,0.0013587759082154753,0.00092755137997849,0.0017900004364524607,0.08696165812579042
3332,3333,Standard,31,0.0013667533517210304,0.001214292272562498,0.0015192144308795628,0.08473870780670388
3497,3498,Standard,29,0.0014500567334867632,0.0003546878760824124,0.002545425590891114,0.08552204204656191
3581,3582,Standard,31,0.001040225926132585,0.0007050321357924055,0.0013754197164727645,0.06519903955601268
3698,3701,Long,108,0.001825080044944426,0.00038017265814363905,0.002986267564137579,0.24492652292501327
4328,4329,Standard,30,0.0012705640552151873,0.0005009756106837942,0.0020401524997465804,0.07723579453427884
4825,4826,Standard,48,0.0010336982049238806,0.0008339997335464542,0.001233396676301307,0.08422303246885636
5455,5456,Standard,33,0.0012695551715661087,0.001207844728799562,0.0013312656143326554,0.08016710713696448
5476,5477,Standard,32,0.001207187167289758,0.00046456464835370367,0.0019498096862258121,0.07725997870654451
5609,5610,Standard,30,0.0008829717800138839,0.00024242424242424264,0.0015235193176035252,0.053705579528105764
5794,5795,Standard,31,0.0016764935542762207,0.0009869070026308606,0.0023660801059215805,0.10394260036512568
6057,6058,Standard,32,0.0007010461491253185,0.00018856180831641284,0.0012135304899342243,0.044489829927387564
