File_ID,Mean_fixation_duration,Median_fixation_duration,Standard_Deviation_fixation_duration,Minimum_fixation_duration,Maximum_fixation_duration,Mean_fixation_velocity,Median_fixation_velocity,Standard_Deviation_fixation_velocity,Minimum_fixation_velocity,Maximum_fixation_velocity,Total_path_length
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
baseline-04,256.4629371,171,866.0730083,108,22874,0.021013213,0.017076342,0.03640244,0.000164714,0.795033854,31006.18691
baseline-05,,,,,,,,,,,
baseline-06,395.2987654,202,1030.962902,107,11860,0.025521865,0.01606701,0.048359895,0.000845563,0.565880229,15706.96855
baseline-07,248.6227929,188,185.9401358,107,1764,0.018087016,0.016200228,0.018484382,0.007375439,0.36369164,11621.73169
baseline-08,380.4875519,218,1183.730081,108,24860,0.016447306,0.015664133,0.006072089,6.07E-05,0.090421689,11383.90084
baseline-09,377.731055,251,360.8518943,107,3436,0.01520747,0.014639816,0.003641038,0.005391915,0.031492881,8427.643299
baseline-10,346.053719,234,329.1490759,107,2814,0.016765493,0.014889687,0.019903005,0.006963162,0.451567367,12311.76196
baseline-11,811.3910256,219,2363.712439,108,23328,0.0266541,0.016939464,0.040563631,0.00013381,0.413717144,20057.2879
baseline-12,230.2371706,173,169.4066354,108,2689,0.017819672,0.016657994,0.006518115,0.006433946,0.088212462,16312.248
baseline-13,222.3514493,172,152.4267335,106,1608,0.018021939,0.017018843,0.006386594,0.008991202,0.086618616,14311.42291
baseline-14,465.6509636,202,1475.784721,107,24594,0.022687497,0.015900946,0.049978807,7.83E-05,0.66071748,13891.38532
baseline-15,327.1437599,204,347.6304304,107,3015,0.016015498,0.015405395,0.006547321,0.007395869,0.104109821,9372.102819
baseline-16,261.4116541,204,174.7514822,107,1233,0.016586813,0.015643549,0.005918349,0.009526487,0.092900945,10889.68525
baseline-17,342.2183288,219.5,361.0492209,106,3609,0.015952924,0.014912315,0.005506129,0.006868144,0.067883603,9733.277767
baseline-18,323.2446941,219,321.4801715,107,4187,0.01604614,0.015395207,0.004456812,0.005524026,0.042488322,10148.45197
baseline-19,234.6143713,187,172.565384,107,1908,0.016797227,0.016540118,0.003546619,0.008166077,0.033161868,11174.81018
baseline-20,343.3685714,203,446.9504973,107,4233,0.023659879,0.016214036,0.042284259,0.001327409,0.523697044,16255.88249
baseline-21,214.3690476,172,170.0948321,107,2766,0.017248316,0.016479788,0.004460224,0.006273818,0.057707218,14755.93689
baseline-22,359.1679245,234.5,356.6857003,107,4735,0.015586035,0.014656272,0.004398529,0.007910088,0.042701139,11961.379
baseline-23,278.4362745,188,323.1844475,107,3296,0.016931429,0.015945192,0.005205199,0,0.051894413,3629.631612
baseline-24,315.6518519,188,610.5340263,107,8640,0.024109614,0.017040999,0.041402372,0.000125673,0.547402136,24587.62727
baseline-25,356.2827939,189,782.6729972,108,8875,0.019490058,0.016362408,0.028414727,0.000991973,0.574233754,23917.69031
baseline-26,243.2779553,155,955.3660905,108,16922,0.018871887,0.017975766,0.005332831,5.61E-05,0.048889543,17357.07976
baseline-27,283.0927318,171,405.2537358,108,4670,0.022270586,0.01699466,0.031977865,0.00200784,0.380177388,18095.98573
baseline-28,458.6187399,234,1573.807455,107,30190,0.016877855,0.01504215,0.008929778,0.003073269,0.131142647,10317.91405
baseline-29,297.9566667,188,365.0555594,107,4125,0.017871122,0.016267658,0.009290529,0.002093361,0.176919016,15196.35035
baseline-30,269.592721,188,320.1856407,107,5687,0.016924697,0.01631718,0.005394644,0.001139412,0.061767248,10580.15957
baseline-31,365.6185984,219,639.0030002,107,9313,0.015965325,0.015115221,0.005287283,0.000360833,0.05148321,13118.32111
