File_ID,Total_Micro,Total_Standard,Total_Long,Total_All,Max_Duration,Min_Duration,Mean_Duration,Peak_Velocity,Mean_Peak_Velocity,Mean_Velocity,Total_Path_Length
openface-04,0,199,100,299,189,28,70.45150502,0.007686157,0.002158061,0.001414479,69.39221773
openface-05,,,,,,,,,,,
openface-06,0,8,1,9,94,30,38.55555556,0.004136938,0.000793672,0.000677629,2.64782559
openface-07,0,37,1,38,108,30,47.47368421,0.003249355,0.000988579,0.000779545,5.689625465
openface-08,0,36,9,45,156,30,53.88888889,0.006259395,0.001431595,0.001083936,10.38276137
openface-09,0,13,1,14,156,30,42.57142857,0.007368691,0.001021217,0.000767391,2.781754588
openface-10,0,15,3,18,158,30,57.72222222,0.004718336,0.001082755,0.000842739,3.457474867
openface-11,0,72,11,83,188,30,55.01204819,0.01807445,0.001605228,0.001037491,26.88480466
openface-12,0,73,2,75,188,29,39.25333333,0.009633881,0.000847889,0.000703213,12.63661914
openface-13,0,44,5,49,125,29,43.73469388,0.006570517,0.000997067,0.000810438,10.08854503
openface-14,0,35,5,40,170,29,56.4,0.014540212,0.001387938,0.000943469,13.25067703
openface-15,0,3,0,3,33,32,32.66666667,0.002278377,0.000568167,0.000528119,0.819774462
openface-16,0,33,7,40,187,30,54.55,0.006527059,0.001015758,0.000775806,7.605439922
openface-17,0,35,2,37,110,30,42.48648649,0.004887504,0.001079156,0.000827831,7.087257247
openface-18,0,25,0,25,63,30,36.96,0.004162003,0.000687162,0.000571611,4.074760927
openface-19,0,4,0,4,61,31,39,0.003019362,0.000640509,0.000570541,1.387578301
openface-20,0,62,10,72,173,30,52.55555556,0.005481687,0.001021704,0.000777803,12.05607459
openface-21,0,66,23,89,187,30,62.88764045,0.041306769,0.002046866,0.001292628,20.92496672
openface-22,0,59,12,71,188,30,53.97183099,0.005094878,0.001388886,0.001069798,12.15000099
openface-23,0,36,4,40,173,29,49.85,0.00480976,0.001072017,0.000875937,8.278536129
openface-24,0,71,7,78,110,29,44.93589744,0.017116139,0.001437824,0.00098602,21.78058165
openface-25,0,85,19,104,188,29,56.08653846,0.018909139,0.00119303,0.000882908,25.44291562
openface-26,0,119,15,134,189,29,50.80597015,0.01178549,0.001232473,0.000916199,26.84527449
openface-27,0,25,11,36,187,30,68.69444444,0.03688239,0.00128349,0.000814577,15.17303245
openface-28,,,,,,,,,,,
openface-29,0,45,3,48,125,30,41.64583333,0.004537278,0.000890346,0.000732372,8.365174729
openface-30,0,50,5,55,155,30,48.03636364,0.003735714,0.001026562,0.000806754,8.258018249
openface-31,0,35,9,44,187,30,60.25,0.004012986,0.00096851,0.000766913,9.49400822
